Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
100.23,Sodiq,success,debit,TG45IQ8QWPLO,TG45IQ8QWPLO,8/17/25
10.00,Sodiq,success,debit,TG45IQ8QWPLO,TG45IQ8QWPLO,8/17/25
10.00,Sodiq,success,debit,TU3Y3EQRY6F6,TU3Y3EQRY6F6,8/17/25
10.00,Sodiq,success,debit,TX5LWZXANFL1,TX5LWZXANFL1,8/17/25
10.00,Sodiq,success,debit,TU3Y3EQRY6F6,TU3Y3EQRY6F6,8/17/25
10.00,Sodiq,success,debit,TX5LWZXANFL1,TX5LWZXANFL1,8/17/25
100.23,Sodiq,success,debit,TXV3VRY7AS27,TXV3VRY7AS27,8/6/25
10.00,Sodiq,success,debit,TXV3VRY7AS27,TXV3VRY7AS27,8/6/25
10.00,Sodiq,success,debit,T82861M79JKQ,T82861M79JKQ,8/6/25
10.00,Sodiq,success,debit,TZ84F38EKI2E,TZ84F38EKI2E,8/6/25
10.00,Sodiq,success,debit,T82861M79JKQ,T82861M79JKQ,8/6/25
10.00,Sodiq,success,debit,TZ84F38EKI2E,TZ84F38EKI2E,8/6/25
100.23,Sodiq,success,debit,TDFTOFWAXUH5,TDFTOFWAXUH5,8/8/25
10.00,Sodiq,success,debit,TDFTOFWAXUH5,TDFTOFWAXUH5,8/8/25
10.00,Sodiq,success,debit,TR7IU0A6EFFQ,TR7IU0A6EFFQ,8/8/25
10.00,Sodiq,success,debit,TR7IU0A6EFFQ,TR7IU0A6EFFQ,8/8/25
10.00,Sodiq,success,debit,TY2KU88CKLV5,TY2KU88CKLV5,8/8/25
10.00,Sodiq,success,debit,TY2KU88CKLV5,TY2KU88CKLV5,8/8/25
10.00,Sodiq,success,debit,TJQKV7OKBMDF,TJQKV7OKBMDF,3/27/25
100.23,Sodiq,success,debit,TNU3USL16ARU,TNU3USL16ARU,8/10/25
10.00,Sodiq,success,debit,TNU3USL16ARU,TNU3USL16ARU,8/10/25
10.00,Sodiq,success,debit,TIRT5GBXH63Z,TIRT5GBXH63Z,8/10/25
10.00,Sodiq,success,debit,TVY1LYMT8UOH,TVY1LYMT8UOH,8/10/25
10.00,Sodiq,success,debit,TIRT5GBXH63Z,TIRT5GBXH63Z,8/10/25
10.00,Sodiq,success,debit,TVY1LYMT8UOH,TVY1LYMT8UOH,8/10/25
100.23,Sodiq,success,debit,T0HN08D498JU,T0HN08D498JU,8/13/25
10.00,Sodiq,success,debit,T0HN08D498JU,T0HN08D498JU,8/13/25
10.00,Sodiq,success,debit,TNM4O773KL42,TNM4O773KL42,8/13/25
10.00,Sodiq,success,debit,TEASG7HVBCZ9,TEASG7HVBCZ9,8/13/25
10.00,Sodiq,success,debit,TNM4O773KL42,TNM4O773KL42,8/13/25
10.00,Sodiq,success,debit,TEASG7HVBCZ9,TEASG7HVBCZ9,8/13/25
50.23,Sodiq,success,debit,T34UP8CVZG0M,T34UP8CVZG0M,4/6/25
10.00,Sodiq,success,debit,TVCSDQK7ZRP5,TVCSDQK7ZRP5,4/6/25
10.00,Sodiq,success,debit,TZ5JIH4BLCUI,TZ5JIH4BLCUI,4/6/25
10.00,Sodiq,failed,debit,TG7W9RI5R2PO,TG7W9RI5R2PO,4/6/25
