"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","Verify TwoFA - Code > 6 Digits","QA - Cashdrive / Business","Wed Jan 28 18:58:47 UTC 2026","failed","Wed Jan 28 18:58:48 UTC 2026","Two-FA > Verify Two-FA","User","",""
"","53","Forgot Password - Revert","QA - Cashdrive / Business","Wed Jan 28 18:58:35 UTC 2026","failed","Wed Jan 28 18:58:35 UTC 2026","Reset password","Onboarding.","",""
"","46","List Bill Categories-No auth","QA - Cashdrive / Business","Wed Jan 28 18:58:43 UTC 2026","failed","Wed Jan 28 18:58:43 UTC 2026","List Bill categories","Pay Bills","",""
"","51","Create Profile","QA - Cashdrive / Business","Wed Jan 28 18:58:35 UTC 2026","passed","Wed Jan 28 18:58:35 UTC 2026","Create Profile","Profile","",""
"","42","List Accounts","QA - Cashdrive / Business","Wed Jan 28 18:58:36 UTC 2026","passed","Wed Jan 28 18:58:36 UTC 2026","Get Accounts","Profile","",""
"","290","Verify Email - Empty Fields","QA - Cashdrive / Business","Wed Jan 28 18:58:29 UTC 2026","passed","Wed Jan 28 18:58:30 UTC 2026","SignUp..... > Verify email.","Onboarding.","",""
"","44","List Biller Options-No auth","QA - Cashdrive / Business","Wed Jan 28 18:58:44 UTC 2026","failed","Wed Jan 28 18:58:44 UTC 2026","List Biller Options","Pay Bills","",""
"","49","Update User Profile-Empty profile id field","QA - Cashdrive / Business","Wed Jan 28 18:58:39 UTC 2026","failed","Wed Jan 28 18:58:39 UTC 2026","Update User Profile","User Management","",""
"","51","Make bill payment-Invalid category Id","QA - Cashdrive / Business","Wed Jan 28 18:58:45 UTC 2026","failed","Wed Jan 28 18:58:45 UTC 2026","Make Bill Payment > Make bill payment-Cable TV > GOTV","Pay Bills","",""
"","51","Update User Profile-Invalid profile id","QA - Cashdrive / Business","Wed Jan 28 18:58:39 UTC 2026","failed","Wed Jan 28 18:58:39 UTC 2026","Update User Profile","User Management","",""
"","52","Get Fees - Empty Fields","QA - Cashdrive / Business","Wed Jan 28 18:58:42 UTC 2026","failed","Wed Jan 28 18:58:42 UTC 2026","","Get Fees","",""
"","106","Get Notification","QA - Cashdrive / Business","Wed Jan 28 18:58:49 UTC 2026","passed","Wed Jan 28 18:58:49 UTC 2026","","Notification","",""
"","52","Automation Purposed - Get Users","QA - Cashdrive / Business","Wed Jan 28 18:58:39 UTC 2026","passed","Wed Jan 28 18:58:39 UTC 2026","Delete User","User Management","",""
"","55","Make bill payment-Invalid category Id","QA - Cashdrive / Business","Wed Jan 28 18:58:45 UTC 2026","failed","Wed Jan 28 18:58:45 UTC 2026","Make Bill Payment > Make bill payment-Cable TV > STARTIMES","Pay Bills","",""
"","52","Accept Invite","QA - Cashdrive / Business","Wed Jan 28 18:58:38 UTC 2026","failed","Wed Jan 28 18:58:38 UTC 2026","Accept Invite","User Management","",""
"","180","Create User - Invalid Email OTP","QA - Cashdrive / Business","Wed Jan 28 18:58:33 UTC 2026","failed","Wed Jan 28 18:58:33 UTC 2026","SignUp..... > Create user","Onboarding.","",""
