"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","List Locations - Cities","QA - Northquest / Retail","Sun Oct 19 20:27:13 UTC 2025","passed","Sun Oct 19 20:27:13 UTC 2025","Locations","Settings","",""
"","88","Get Profile by ID - No Auth","QA - Northquest / Retail","Sun Oct 19 20:26:40 UTC 2025","failed","Sun Oct 19 20:26:40 UTC 2025","Get Profile by ID","Profile","",""
"","104","Set Document","QA - Northquest / Retail","Sun Oct 19 20:27:08 UTC 2025","passed","Sun Oct 19 20:27:08 UTC 2025","Set Document","Documents","",""
"","111","Reset PIN","QA - Northquest / Retail","Sun Oct 19 20:27:04 UTC 2025","passed","Sun Oct 19 20:27:04 UTC 2025","Reset PIN","User","",""
"","88","Update Profile - Invalid ProfileId","QA - Northquest / Retail","Sun Oct 19 20:26:40 UTC 2025","passed","Sun Oct 19 20:26:41 UTC 2025","Update Profile","Profile","",""
"","191","Get Notification","QA - Northquest / Retail","Sun Oct 19 20:27:09 UTC 2025","passed","Sun Oct 19 20:27:10 UTC 2025","","Notification","",""
"","186","List Locations - Countries","QA - Northquest / Retail","Sun Oct 19 20:27:12 UTC 2025","passed","Sun Oct 19 20:27:12 UTC 2025","Locations","Settings","",""
"","188","Create Wallet - Empty fields","QA - Northquest / Retail","Sun Oct 19 20:26:42 UTC 2025","failed","Sun Oct 19 20:26:42 UTC 2025","Create wallet","Wallets","",""
"","197","Upload File","QA - Northquest / Retail","Sun Oct 19 20:27:05 UTC 2025","passed","Sun Oct 19 20:27:05 UTC 2025","","Files","",""
"","113","Login - Empty Fields","QA - Northquest / Retail","Sun Oct 19 20:26:36 UTC 2025","passed","Sun Oct 19 20:26:36 UTC 2025","Login","Onboarding","",""
"","186","Create Transfer Beneficiary","QA - Northquest / Retail","Sun Oct 19 20:26:46 UTC 2025","passed","Sun Oct 19 20:26:46 UTC 2025","Transfer Beneficiaries > Create Beneficiary","Beneficiaries","",""
"","107","Get Transfer Beneficiaries-No Auth","QA - Northquest / Retail","Sun Oct 19 20:26:48 UTC 2025","failed","Sun Oct 19 20:26:48 UTC 2025","Transfer Beneficiaries > Get Beneficiaries","Beneficiaries","",""
"","695","Create User - Valid","QA - Northquest / Retail","Sun Oct 19 20:26:34 UTC 2025","passed","Sun Oct 19 20:26:35 UTC 2025","SignUp > Create user","Onboarding","",""
"","108","Generate OTP","QA - Northquest / Retail","Sun Oct 19 20:27:03 UTC 2025","passed","Sun Oct 19 20:27:03 UTC 2025","Generate OTP","User","",""
"","100","Verify Biller Account Number-Empty fields","QA - Northquest / Retail","Sun Oct 19 20:26:53 UTC 2025","passed","Sun Oct 19 20:26:53 UTC 2025","Verify Biller account number","Pay Bills","",""
"","215","Make Bill Payment","QA - Northquest / Retail","Sun Oct 19 20:27:16 UTC 2025","failed","Sun Oct 19 20:27:16 UTC 2025","","","",""
"","104","Reset Password","QA - Northquest / Retail","Sun Oct 19 20:27:13 UTC 2025","passed","Sun Oct 19 20:27:14 UTC 2025","","","",""
"","111","Make Bill Payment","QA - Northquest / Retail","Sun Oct 19 20:26:55 UTC 2025","failed","Sun Oct 19 20:26:55 UTC 2025","Make Bill Payment > Make bill payment-Data > AIRTEL","Pay Bills","",""
"","194","Get Transaction-No auth","QA - Northquest / Retail","Sun Oct 19 20:27:00 UTC 2025","failed","Sun Oct 19 20:27:01 UTC 2025","Get transaction","Transactions","",""
"","145","Verify Phone - Valid","QA - Northquest / Retail","Sun Oct 19 20:26:33 UTC 2025","passed","Sun Oct 19 20:26:34 UTC 2025","SignUp > Verify phone number","Onboarding","",""
"","90","Login - Invalid Email","QA - Northquest / Retail","Sun Oct 19 20:26:36 UTC 2025","passed","Sun Oct 19 20:26:36 UTC 2025","Login","Onboarding","",""
"","228","Get Transfer Beneficiary-Invalid profile Id","QA - Northquest / Retail","Sun Oct 19 20:26:48 UTC 2025","failed","Sun Oct 19 20:26:48 UTC 2025","Transfer Beneficiaries > Get Beneficiary","Beneficiaries","",""
"","97","Transfer Empty Fields","QA - Northquest / Retail","Sun Oct 19 20:26:44 UTC 2025","failed","Sun Oct 19 20:26:44 UTC 2025","Transfer","Transfer","",""
"","144","Create Dispute-Invalid transaction id","QA - Northquest / Retail","Sun Oct 19 20:27:02 UTC 2025","failed","Sun Oct 19 20:27:02 UTC 2025","Create Dispute","Transactions","",""
"","202","List Tiers - Personal","QA - Northquest / Retail","Sun Oct 19 20:27:06 UTC 2025","passed","Sun Oct 19 20:27:06 UTC 2025","Fetch Teirs","Tiers","",""
"","186","Verify Phone - Invalid Phone Number","QA - Northquest / Retail","Sun Oct 19 20:26:34 UTC 2025","passed","Sun Oct 19 20:26:34 UTC 2025","SignUp > Verify phone number","Onboarding","",""
"","105","Reset Password - Password Mismatch","QA - Northquest / Retail","Sun Oct 19 20:27:18 UTC 2025","failed","Sun Oct 19 20:27:18 UTC 2025","","","",""
"","94","Reset Password - Empty confirm Password field","QA - Northquest / Retail","Sun Oct 19 20:26:37 UTC 2025","passed","Sun Oct 19 20:26:37 UTC 2025","Reset password","Onboarding","",""
"","98","Delete Transfer Beneficiary","QA - Northquest / Retail","Sun Oct 19 20:26:47 UTC 2025","passed","Sun Oct 19 20:26:47 UTC 2025","Transfer Beneficiaries > Delete Beneficiary","Beneficiaries","",""
"","166","Transaction Summary","QA - Northquest / Retail","Sun Oct 19 20:27:03 UTC 2025","passed","Sun Oct 19 20:27:03 UTC 2025","Transaction Summary","Transactions","",""
"","135","Get Dispute","QA - Northquest / Retail","Sun Oct 19 20:27:02 UTC 2025","failed","Sun Oct 19 20:27:02 UTC 2025","Get Dispute","Transactions","",""
"","94","Make Bill Payment","QA - Northquest / Retail","Sun Oct 19 20:26:58 UTC 2025","failed","Sun Oct 19 20:26:58 UTC 2025","Make Bill Payment > Make bill payment-Electricity","Pay Bills","",""
"","148","List Notifications","QA - Northquest / Retail","Sun Oct 19 20:26:42 UTC 2025","passed","Sun Oct 19 20:26:42 UTC 2025","","Dashboard","",""
"","200","Verify Biller Account Number-Empty fields","QA - Northquest / Retail","Sun Oct 19 20:27:17 UTC 2025","passed","Sun Oct 19 20:27:17 UTC 2025","","","",""
"","96","Generate TwoFA - No Auth","QA - Northquest / Retail","Sun Oct 19 20:27:04 UTC 2025","failed","Sun Oct 19 20:27:04 UTC 2025","Two-FA > Generate Two-FA","User","",""
"","100","Make bill payment-Empty fields","QA - Northquest / Retail","Sun Oct 19 20:26:56 UTC 2025","failed","Sun Oct 19 20:26:56 UTC 2025","Make Bill Payment > Make bill payment-Cable TV > DSTV","Pay Bills","",""
"","309","Make bill payment","QA - Northquest / Retail","Sun Oct 19 20:26:56 UTC 2025","failed","Sun Oct 19 20:26:56 UTC 2025","Make Bill Payment > Make bill payment-Cable TV > DSTV","Pay Bills","",""
"","110","Get Fees","QA - Northquest / Retail","Sun Oct 19 20:26:46 UTC 2025","failed","Sun Oct 19 20:26:46 UTC 2025","","Get Fees","",""
"","183","Create User - Valid","QA - Northquest / Retail","Sun Oct 19 20:27:17 UTC 2025","passed","Sun Oct 19 20:27:17 UTC 2025","","","",""
"","101","Login - Wrong Password","QA - Northquest / Retail","Sun Oct 19 20:26:36 UTC 2025","passed","Sun Oct 19 20:26:36 UTC 2025","Login","Onboarding","",""
"","89","Get Profiles","QA - Northquest / Retail","Sun Oct 19 20:26:40 UTC 2025","passed","Sun Oct 19 20:26:40 UTC 2025","Get Profiles","Profile","",""
"","99","Verify Phone - Phone > 16","QA - Northquest / Retail","Sun Oct 19 20:26:34 UTC 2025","passed","Sun Oct 19 20:26:34 UTC 2025","SignUp > Verify phone number","Onboarding","",""
"","198","Create Dispute","QA - Northquest / Retail","Sun Oct 19 20:27:01 UTC 2025","failed","Sun Oct 19 20:27:01 UTC 2025","Create Dispute","Transactions","",""
"","196","Verify Biller Account Number-Invalid account number","QA - Northquest / Retail","Sun Oct 19 20:26:53 UTC 2025","passed","Sun Oct 19 20:26:53 UTC 2025","Verify Biller account number","Pay Bills","",""
"","96","List wallets - Invalid Profile Id","QA - Northquest / Retail","Sun Oct 19 20:26:42 UTC 2025","failed","Sun Oct 19 20:26:42 UTC 2025","List wallets","Wallets","",""
"","156","Get Transfer Beneficiary","QA - Northquest / Retail","Sun Oct 19 20:26:48 UTC 2025","passed","Sun Oct 19 20:26:48 UTC 2025","Transfer Beneficiaries > Get Beneficiary","Beneficiaries","",""
"","186","Disable TwoFA - Valid","QA - Northquest / Retail","Sun Oct 19 20:27:05 UTC 2025","passed","Sun Oct 19 20:27:05 UTC 2025","Two-FA > Disable Two-FA","User","",""
"","691","Refresh - Token","QA - Northquest / Retail","Sun Oct 19 20:26:38 UTC 2025","passed","Sun Oct 19 20:26:39 UTC 2025","Refresh Token","Onboarding","",""
"","106","Reset Password","QA - Northquest / Retail","Sun Oct 19 20:26:37 UTC 2025","failed","Sun Oct 19 20:26:37 UTC 2025","Reset password","Onboarding","",""
