Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
10.00,Sodiq,processing,debit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
50.00,,success,debit,Tqzirdqghdq,Tqzirdqghdq,12/3/24
10.00,,success,debit,Tqzirdqghdq,Tqzirdqghdq,12/3/24
100.23,Sodiq,success,credit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
100.23,Sodiq,success,debit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
100.23,Sodiq,success,debit,Tumzfaejlim,Tumzfaejlim,12/4/24
10.00,Sodiq,success,debit,Tumzfaejlim,Tumzfaejlim,12/4/24
200.00,,success,debit,Thgcwpogjfj,Thgcwpogjfj,12/6/24
2000.00,,success,debit,Tkntfxfvduq,Tkntfxfvduq,12/4/24
10.00,,success,debit,Tkntfxfvduq,Tkntfxfvduq,12/4/24
10.00,,success,debit,Thgcwpogjfj,Thgcwpogjfj,12/6/24
80.00,,processing,debit,Tpxyxezsnhl,Tpxyxezsnhl,12/6/24
1000.00,,success,debit,Tkmmmcedhmx,Tkmmmcedhmx,12/4/24
10.00,,success,debit,Tkmmmcedhmx,Tkmmmcedhmx,12/4/24
10.00,,processing,debit,Tpxyxezsnhl,Tpxyxezsnhl,12/6/24
49.00,,processing,debit,Tpcwosznlga,Tpcwosznlga,12/6/24
200.00,,success,debit,Tldrrtfpfgo,Tldrrtfpfgo,12/4/24
10.00,,success,debit,Tldrrtfpfgo,Tldrrtfpfgo,12/4/24
10.00,,processing,debit,Tpcwosznlga,Tpcwosznlga,12/6/24
48.00,,success,debit,Tmnapbfehsa,Tmnapbfehsa,12/4/24
10.00,,success,debit,Tmnapbfehsa,Tmnapbfehsa,12/4/24
1414.00,Sodiq,success,debit,Txmglnblfwx,Txmglnblfwx,12/4/24
10.00,Sodiq,success,debit,Txmglnblfwx,Txmglnblfwx,12/4/24
48.00,,success,debit,Tkwbqeyuxll,Tkwbqeyuxll,12/4/24
10.00,,success,debit,Tkwbqeyuxll,Tkwbqeyuxll,12/4/24
69.00,,success,debit,Tbdlalorcmi,Tbdlalorcmi,12/5/24
10.00,,success,debit,Tbdlalorcmi,Tbdlalorcmi,12/5/24
100.23,Sodiq,success,debit,Tekfprzwrkq,Tekfprzwrkq,12/5/24
10.00,Sodiq,success,debit,Tekfprzwrkq,Tekfprzwrkq,12/5/24
10.00,Sodiq,processing,debit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
100.23,Sodiq,success,credit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
100.23,Sodiq,success,debit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
200.00,,processing,debit,Tkpcibxzilx,Tkpcibxzilx,12/6/24
10.00,,processing,debit,Tkpcibxzilx,Tkpcibxzilx,12/6/24
200.00,,processing,debit,Tjczgycnovt,Tjczgycnovt,12/6/24
10.00,,processing,debit,Tjczgycnovt,Tjczgycnovt,12/6/24
100.00,,success,debit,Tqsmsmhtuzt,Tqsmsmhtuzt,12/3/24
10.00,,success,debit,Tqsmsmhtuzt,Tqsmsmhtuzt,12/3/24
50.00,,processing,debit,Tgfafronluo,Tgfafronluo,12/6/24
10.00,,processing,debit,Tgfafronluo,Tgfafronluo,12/6/24
100.23,Sodiq,success,debit,Tsmikdaqvsq,Tsmikdaqvsq,12/4/24
10.00,Sodiq,success,debit,Tsmikdaqvsq,Tsmikdaqvsq,12/4/24
100.00,,success,debit,Taybkkpdutl,Taybkkpdutl,12/4/24
100.00,Test Narration pending 1,pending,debit,Refpen1,Refpen1,11/11/24
10.00,,success,debit,Taybkkpdutl,Taybkkpdutl,12/4/24
1000.23,Sodiq,success,debit,Tsfdfedcitg,Tsfdfedcitg,12/4/24
10.00,Sodiq,success,debit,Tsfdfedcitg,Tsfdfedcitg,12/4/24
100.00,Test Narration pending 1,pending,debit,Refpen1-b75d73,Refpen1-b75d73,11/11/24
150.00,Test Narration pending 2,pending,debit,Refpen2-7b3875,Refpen2-7b3875,11/11/24
100.23,Sodiq,success,debit,Tppmwzyamly,Tppmwzyamly,12/4/24
10.00,Sodiq,success,debit,Tppmwzyamly,Tppmwzyamly,12/4/24
100.00,,success,debit,Twlwpaarlrm,Twlwpaarlrm,12/4/24
10.00,,success,debit,Twlwpaarlrm,Twlwpaarlrm,12/4/24
2000.00,Sodiq,success,debit,Txfuazjaarf,Txfuazjaarf,12/4/24
10.00,Sodiq,success,debit,Txfuazjaarf,Txfuazjaarf,12/4/24
100.23,Sodiq,success,debit,Tnbsdxsxcdf,Tnbsdxsxcdf,12/5/24
10.00,Sodiq,success,debit,Tnbsdxsxcdf,Tnbsdxsxcdf,12/5/24
3000.00,,processing,debit,Teojvfmfbdg,Teojvfmfbdg,12/5/24
10.00,,processing,debit,Teojvfmfbdg,Teojvfmfbdg,12/5/24
10.00,Sodiq,processing,debit,Tyoqleskian,Tyoqleskian,12/5/24
100.23,Sodiq,success,credit,Tyoqleskian,Tyoqleskian,12/5/24
100.23,Sodiq,success,debit,Tyoqleskian,Tyoqleskian,12/5/24
100.23,Sodiq,success,debit,Trqtumdmjpx,Trqtumdmjpx,12/6/24
10.00,Sodiq,success,debit,Trqtumdmjpx,Trqtumdmjpx,12/6/24
10.00,Sodiq,processing,debit,Tyaywuvfvcm,Tyaywuvfvcm,12/6/24
100.23,Sodiq,success,credit,Tyaywuvfvcm,Tyaywuvfvcm,12/6/24
100.23,Sodiq,success,debit,Tyaywuvfvcm,Tyaywuvfvcm,12/6/24
200.00,Test Narration pending 3,pending,debit,Refpen3-0f70ef,Refpen3-0f70ef,11/11/24
100.00,Test Narration pending_approval 1,pending_approval,debit,Refpen1-746b3c,Refpen1-746b3c,11/11/24
150.00,Test Narration pending_approval 2,pending_approval,debit,Refpen2-a42f66,Refpen2-a42f66,11/11/24
200.00,Test Narration pending_approval 3,pending_approval,debit,Refpen3-3a2c91,Refpen3-3a2c91,11/11/24
100.00,Test Narration processing 1,processing,debit,Refpro1-c3722c,Refpro1-c3722c,11/11/24
150.00,Test Narration processing 2,processing,debit,Refpro2-cbaba8,Refpro2-cbaba8,11/11/24
200.00,Test Narration processing 3,processing,debit,Refpro3-65ab3f,Refpro3-65ab3f,11/11/24
100.00,Test Narration success 1,success,debit,Refsuc1-43d32a,Refsuc1-43d32a,11/11/24
150.00,Test Narration success 2,success,debit,Refsuc2-eb55e3,Refsuc2-eb55e3,11/11/24
200.00,Test Narration success 3,success,debit,Refsuc3-967dfe,Refsuc3-967dfe,11/11/24
100.00,Test Narration failed 1,failed,debit,Reffai1-a1b598,Reffai1-a1b598,11/11/24
150.00,Test Narration failed 2,failed,debit,Reffai2-f0d993,Reffai2-f0d993,11/11/24
200.00,Test Narration failed 3,failed,debit,Reffai3-e77333,Reffai3-e77333,11/11/24
100.00,Test Narration rejected 1,rejected,debit,Refrej1-bdcf35,Refrej1-bdcf35,11/11/24
150.00,Test Narration rejected 2,rejected,debit,Refrej2-4cdc52,Refrej2-4cdc52,11/11/24
200.00,Test Narration rejected 3,rejected,debit,Refrej3-d5555a,Refrej3-d5555a,11/11/24
