Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
600.00,Deposit to TEST Custom Save savings plan for 20 Sept,success,debit,TGC671L0J5FX,TGC671L0J5FX,9/21/26
10000.00,Deposit to Test ₦10K for 90 Days savings plan for 20 Sept,success,debit,TH4VWEW572FL,TH4VWEW572FL,9/21/26
1000.00,Deposit to Test -2 ₦1K for 30 days savings plan for 20 Sept,success,debit,TSHLWMBRM83X,TSHLWMBRM83X,9/21/26
600.00,Deposit to TEST Custom Save savings plan for 19 Sept,success,debit,TPSMY0FYJMKK,TPSMY0FYJMKK,9/20/26
10000.00,Deposit to Test ₦10K for 90 Days savings plan for 19 Sept,success,debit,TYSR90IOLRDP,TYSR90IOLRDP,9/20/26
1000.00,Deposit to Test -2 ₦1K for 30 days savings plan for 19 Sept,success,debit,TVR4UMCI69X3,TVR4UMCI69X3,9/20/26
600.00,Deposit to TEST Custom Save savings plan for 18 Sept,success,debit,TQB46C7E899B,TQB46C7E899B,9/19/26
10000.00,Deposit to Test ₦10K for 90 Days savings plan for 18 Sept,success,debit,TX3B13BCG26H,TX3B13BCG26H,9/19/26
1000.00,Deposit to Test -2 ₦1K for 30 days savings plan for 18 Sept,success,debit,T11ZHOI2NNI8,T11ZHOI2NNI8,9/19/26
600.00,Deposit to TEST Custom Save savings plan for 17 Sept,success,debit,T3S4F2VBI0YA,T3S4F2VBI0YA,9/18/26
10000.00,Deposit to Test ₦10K for 90 Days savings plan for 17 Sept,success,debit,TJV3H747H6IL,TJV3H747H6IL,9/18/26
1000.00,Deposit to Test -2 ₦1K for 30 days savings plan for 17 Sept,success,debit,TUOSH2THTO63,TUOSH2THTO63,9/18/26
1.10,Top up from wallet,success,debit,T47W56YRHQ7Q,T47W56YRHQ7Q,9/17/26
10.00,Top up via card,success,debit,TW034R7CPMM8-savings-debit,TW034R7CPMM8-savings-debit,9/17/26
10.00,Top up via card,success,credit,TW034R7CPMM8,TW034R7CPMM8,9/17/26
10000.00,Top up via card,failed,credit,TUBJ2ZPEW1PR,TUBJ2ZPEW1PR,9/17/26
1.00,Top up from wallet,success,debit,TG7U7XIM79VF,TG7U7XIM79VF,9/17/26
200.00,Top up from wallet,success,debit,TJIREVXPPPRL,TJIREVXPPPRL,9/17/26
10.00,Fee for pending transfer T2XON4BUHNTV,pending_approval,debit,T2XON4BUHNTV-fee,T2XON4BUHNTV-fee,9/17/26
100000.00,Transfer to SANDBOX TEST USER,pending_approval,debit,T2XON4BUHNTV,T2XON4BUHNTV,9/17/26
1000.00,Wallet top up,failed,credit,THQYS80WQ3UX,THQYS80WQ3UX,9/17/26
3347.26,Upfront interest for QLOCK P Test,success,credit,UPFRONT-01a0aa7c-b1f5-7118-9b40-09fa584dbdf3,UPFRONT-01a0aa7c-b1f5-7118-9b40-09fa584dbdf3,9/17/26
600.00,Deposit to TEST Custom Save savings plan for 16 Sept,success,debit,TO33H13ARQPR,TO33H13ARQPR,9/17/26
1000.00,Deposit to Test -2 ₦1K for 30 days savings plan for 16 Sept,success,debit,TDVMGQKLCH0T,TDVMGQKLCH0T,9/17/26
10.00,Fee for pending transfer TWIYKY83E1I9,pending_approval,debit,TWIYKY83E1I9-fee,TWIYKY83E1I9-fee,9/16/26
59000.00,Transfer to SANDBOX TEST USER,pending_approval,debit,TWIYKY83E1I9,TWIYKY83E1I9,9/16/26
0.21,Fee for pending transfer T6RMR3890I6Z,pending_approval,debit,T6RMR3890I6Z-fee,T6RMR3890I6Z-fee,9/16/26
10000.00,Transfer to SANDBOX TEST USER,pending_approval,debit,T6RMR3890I6Z,T6RMR3890I6Z,9/16/26
50000.00,Deposit to QLOCK P Test savings plan,success,debit,TW7D5SPLR3EA,TW7D5SPLR3EA,9/16/26
10.00,Fee for pending transfer T7E46XMAJJ88,pending_approval,debit,T7E46XMAJJ88-fee,T7E46XMAJJ88-fee,9/16/26
1000.00,Transfer to SANDBOX TEST USER,pending_approval,debit,T7E46XMAJJ88,T7E46XMAJJ88,9/16/26
110.96,Upfront interest for TEST 3 QLOCK,success,credit,UPFRONT-01a0a81f-82d1-7118-9b16-ab7187386dcd,UPFRONT-01a0a81f-82d1-7118-9b16-ab7187386dcd,9/16/26
10000.00,Deposit to TEST 3 QLOCK savings plan,success,debit,T0LTG883CF7L,T0LTG883CF7L,9/16/26
100000.00,Deposit to ₦100K for 180 Days savings plan,failed,credit,TZDVJ84V9L7Q,TZDVJ84V9L7Q,9/16/26
10000.00,Deposit to Test ₦10K for 90 Days savings plan,success,debit,T16CG1R83JOY,T16CG1R83JOY,9/16/26
10000.00,Deposit to Test ₦10K for 90 Days savings plan,failed,credit,TCC73QJA6ASR,TCC73QJA6ASR,9/16/26
0.21,Fee for pending transfer T0VMVDHUQ0QB,pending_approval,debit,T0VMVDHUQ0QB-fee,T0VMVDHUQ0QB-fee,9/15/26
5000.00,Transfer to SANDBOX TEST USER,pending_approval,debit,T0VMVDHUQ0QB,T0VMVDHUQ0QB,9/15/26
0.21,Fee for pending transfer T8V0IYCVIZ6I,pending_approval,debit,T8V0IYCVIZ6I-fee,T8V0IYCVIZ6I-fee,9/15/26
5000.00,Transfer to SANDBOX TEST USER,pending_approval,debit,T8V0IYCVIZ6I,T8V0IYCVIZ6I,9/15/26
10.00,Fee for pending transfer TYTW2T3C38W0,pending_approval,debit,TYTW2T3C38W0-fee,TYTW2T3C38W0-fee,9/15/26
20000.00,Testing Testing 123,pending_approval,debit,TYTW2T3C38W0,TYTW2T3C38W0,9/15/26
