Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
10.00,Sodiq,processing,debit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
50.00,,success,debit,Tqzirdqghdq,Tqzirdqghdq,12/3/24
10.00,,success,debit,Tqzirdqghdq,Tqzirdqghdq,12/3/24
100.23,Sodiq,success,credit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
100.23,Sodiq,success,debit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
100.23,Sodiq,success,debit,Tumzfaejlim,Tumzfaejlim,12/4/24
10.00,Sodiq,success,debit,Tumzfaejlim,Tumzfaejlim,12/4/24
200.00,,success,debit,Thgcwpogjfj,Thgcwpogjfj,12/6/24
2000.00,,success,debit,Tkntfxfvduq,Tkntfxfvduq,12/4/24
10.00,,success,debit,Tkntfxfvduq,Tkntfxfvduq,12/4/24
10.00,,success,debit,Thgcwpogjfj,Thgcwpogjfj,12/6/24
80.00,,processing,debit,Tpxyxezsnhl,Tpxyxezsnhl,12/6/24
1000.00,,success,debit,Tkmmmcedhmx,Tkmmmcedhmx,12/4/24
10.00,,success,debit,Tkmmmcedhmx,Tkmmmcedhmx,12/4/24
10.00,,processing,debit,Tpxyxezsnhl,Tpxyxezsnhl,12/6/24
49.00,,processing,debit,Tpcwosznlga,Tpcwosznlga,12/6/24
200.00,,success,debit,Tldrrtfpfgo,Tldrrtfpfgo,12/4/24
10.00,,success,debit,Tldrrtfpfgo,Tldrrtfpfgo,12/4/24
10.00,,processing,debit,Tpcwosznlga,Tpcwosznlga,12/6/24
48.00,,success,debit,Tmnapbfehsa,Tmnapbfehsa,12/4/24
10.00,,success,debit,Tmnapbfehsa,Tmnapbfehsa,12/4/24
1414.00,Sodiq,success,debit,Txmglnblfwx,Txmglnblfwx,12/4/24
10.00,Sodiq,success,debit,Txmglnblfwx,Txmglnblfwx,12/4/24
48.00,,success,debit,Tkwbqeyuxll,Tkwbqeyuxll,12/4/24
10.00,,success,debit,Tkwbqeyuxll,Tkwbqeyuxll,12/4/24
69.00,,success,debit,Tbdlalorcmi,Tbdlalorcmi,12/5/24
10.00,,success,debit,Tbdlalorcmi,Tbdlalorcmi,12/5/24
100.23,Sodiq,success,debit,Tekfprzwrkq,Tekfprzwrkq,12/5/24
10.00,Sodiq,success,debit,Tekfprzwrkq,Tekfprzwrkq,12/5/24
10.00,Sodiq,processing,debit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
100.23,Sodiq,success,credit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
100.23,Sodiq,success,debit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
200.00,,processing,debit,Tkpcibxzilx,Tkpcibxzilx,12/6/24
10.00,,processing,debit,Tkpcibxzilx,Tkpcibxzilx,12/6/24
200.00,,processing,debit,Tjczgycnovt,Tjczgycnovt,12/6/24
10.00,,processing,debit,Tjczgycnovt,Tjczgycnovt,12/6/24
100.00,,success,debit,Tqsmsmhtuzt,Tqsmsmhtuzt,12/3/24
10.00,,success,debit,Tqsmsmhtuzt,Tqsmsmhtuzt,12/3/24
50.00,,processing,debit,Tgfafronluo,Tgfafronluo,12/6/24
10.00,,processing,debit,Tgfafronluo,Tgfafronluo,12/6/24
100.23,Sodiq,success,debit,Tsmikdaqvsq,Tsmikdaqvsq,12/4/24
10.00,Sodiq,success,debit,Tsmikdaqvsq,Tsmikdaqvsq,12/4/24
100.00,,success,debit,Taybkkpdutl,Taybkkpdutl,12/4/24
10.00,,success,debit,Taybkkpdutl,Taybkkpdutl,12/4/24
1000.23,Sodiq,success,debit,Tsfdfedcitg,Tsfdfedcitg,12/4/24
10.00,Sodiq,success,debit,Tsfdfedcitg,Tsfdfedcitg,12/4/24
10.00,test,success,debit,Tzqgswtuiuq,Tzqgswtuiuq,1/6/25
500.00,test,success,debit,Tzqgswtuiuq,Tzqgswtuiuq,1/6/25
100.23,Sodiq,success,debit,Tppmwzyamly,Tppmwzyamly,12/4/24
10.00,Sodiq,success,debit,Tppmwzyamly,Tppmwzyamly,12/4/24
100.00,,success,debit,Twlwpaarlrm,Twlwpaarlrm,12/4/24
10.00,,success,debit,Twlwpaarlrm,Twlwpaarlrm,12/4/24
2000.00,Sodiq,success,debit,Txfuazjaarf,Txfuazjaarf,12/4/24
10.00,Sodiq,success,debit,Txfuazjaarf,Txfuazjaarf,12/4/24
100.23,Sodiq,success,debit,Tnbsdxsxcdf,Tnbsdxsxcdf,12/5/24
10.00,Sodiq,success,debit,Tnbsdxsxcdf,Tnbsdxsxcdf,12/5/24
3000.00,,processing,debit,Teojvfmfbdg,Teojvfmfbdg,12/5/24
10.00,,processing,debit,Teojvfmfbdg,Teojvfmfbdg,12/5/24
10.00,Sodiq,processing,debit,Tyoqleskian,Tyoqleskian,12/5/24
100.23,Sodiq,success,credit,Tyoqleskian,Tyoqleskian,12/5/24
100.23,Sodiq,success,debit,Tyoqleskian,Tyoqleskian,12/5/24
100.23,Sodiq,success,debit,Trqtumdmjpx,Trqtumdmjpx,12/6/24
10.00,Sodiq,success,debit,Trqtumdmjpx,Trqtumdmjpx,12/6/24
10.00,Sodiq,processing,debit,Tyaywuvfvcm,Tyaywuvfvcm,12/6/24
100.23,Sodiq,success,credit,Tyaywuvfvcm,Tyaywuvfvcm,12/6/24
100.23,Sodiq,success,debit,Tyaywuvfvcm,Tyaywuvfvcm,12/6/24
50.00,Bill payment to airtel for 11020034671,processing,debit,Tydfcjkbowe,Tydfcjkbowe,1/8/25
10.00,Sodiq,processing,debit,Tnrehixvsch,Tnrehixvsch,12/10/24
100.00,,processing,debit,Tnhrwanlxyl,Tnhrwanlxyl,2/4/25
100.00,Narration,failed,debit,Tspqtoydsyk,Tspqtoydsyk,12/2/24
10.00,Narration,failed,debit,Tspqtoydsyk,Tspqtoydsyk,12/2/24
500.00,test,success,credit,Tmggpshuleq,Tmggpshuleq,1/6/25
100.00,Narration,failed,debit,Tzhswyjsjzt,Tzhswyjsjzt,12/2/24
10.00,Narration,failed,debit,Tzhswyjsjzt,Tzhswyjsjzt,12/2/24
10.00,test,success,debit,Tmggpshuleq,Tmggpshuleq,1/6/25
500.00,test,processing,debit,Tmggpshuleq,Tmggpshuleq,1/6/25
100.00,Bill payment to mtn for 0000000040,success,debit,Txcbpnebjis,Txcbpnebjis,1/10/25
100.23,,success,debit,Tbfykrimttq,Tbfykrimttq,12/4/24
50.00,,failed,debit,Tcjchqoueaq,Tcjchqoueaq,12/2/24
10.00,,failed,debit,Tcjchqoueaq,Tcjchqoueaq,12/2/24
10.00,,success,debit,Tbfykrimttq,Tbfykrimttq,12/4/24
50.00,,failed,debit,Tknvzmzldpw,Tknvzmzldpw,12/2/24
10.00,,failed,debit,Tknvzmzldpw,Tknvzmzldpw,12/2/24
100.00,,success,debit,Tfoshfkjfhm,Tfoshfkjfhm,12/4/24
80.00,,failed,debit,Tinuofbkacr,Tinuofbkacr,12/2/24
10.00,,failed,debit,Tinuofbkacr,Tinuofbkacr,12/2/24
10.00,,success,debit,Tfoshfkjfhm,Tfoshfkjfhm,12/4/24
