Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
100.00,Sodiq,success,credit,Tmpnakaenij,Tmpnakaenij,12/10/24
100.00,Sodiq,success,credit,Tycnxdknuju,Tycnxdknuju,12/10/24
900.00,Bill payment to gotv for 1102003467,success,debit,Twpysbyonwc,Twpysbyonwc,1/6/25
1800.00,Bill payment to waec for 1102003467,success,debit,Tbdjkqwxlig,Tbdjkqwxlig,1/6/25
2000.00,,processing,debit,Tgeycewqmhs,Tgeycewqmhs,1/8/25
100.00,Bill payment to mtn for 7918852161,processing,debit,Toygeuvaetb,Toygeuvaetb,1/8/25
2300.00,Bill payment to abuja_electric_postpaid for 07034953306,failed,debit,Trirlvsbmny,Trirlvsbmny,1/6/25
1800.00,Bill payment to waec for 1102003467,success,debit,Tpgjdwpbazw,Tpgjdwpbazw,1/6/25
100.00,Bill payment to glo for 1102003467,processing,debit,Tyroqwikdoe,Tyroqwikdoe,1/8/25
29300.00,Bill payment to dstv for 1102003467,success,debit,Tnldodshqzi,Tnldodshqzi,1/6/25
100.00,Bill payment to airtel for 1102003467,processing,debit,Ttwgyywocgu,Ttwgyywocgu,1/8/25
1000.00,test,success,debit,Ttvenphejtd,Ttvenphejtd,1/6/25
10.00,test,success,debit,Ttvenphejtd,Ttvenphejtd,1/6/25
100.00,Bill payment to 9mobile for 1102003467,processing,debit,Ticghdmrles,Ticghdmrles,1/8/25
4150.00,Bill payment to gotv for 22822822314,success,debit,Tevnsgvpayt,Tevnsgvpayt,1/7/25
10.00,,processing,debit,Tgeycewqmhs,Tgeycewqmhs,1/8/25
50.00,Bill payment to airtel for 11020034671,processing,debit,Toqojeyrfrp,Toqojeyrfrp,1/8/25
9000.00,Bill payment to dstv for 22822322713,processing,debit,Tsgihjedalx,Tsgihjedalx,1/9/25
100.00,Example narration,processing,debit,Truhmjwzmlm,Truhmjwzmlm,1/9/25
10.00,Example narration,processing,debit,Truhmjwzmlm,Truhmjwzmlm,1/9/25
2000.00,test,processing,debit,Tphuamkrqxu,Tphuamkrqxu,1/9/25
10.00,test,processing,debit,Tphuamkrqxu,Tphuamkrqxu,1/9/25
2000.00,test,processing,debit,Tlwxvghgbrw,Tlwxvghgbrw,1/9/25
10.00,test,processing,debit,Tlwxvghgbrw,Tlwxvghgbrw,1/9/25
100.00,Sodiq,success,credit,Tlfhldlezms,Tlfhldlezms,12/10/24
100.00,Sodiq,success,credit,Tvbcnyhyqkp,Tvbcnyhyqkp,12/10/24
100.00,Sodiq,success,credit,Ttxxopsydsd,Ttxxopsydsd,12/10/24
100.00,Sodiq,success,credit,Tfhrsjzbaat,Tfhrsjzbaat,12/10/24
100.00,Sodiq,success,credit,Tpshvnwlktd,Tpshvnwlktd,12/10/24
100.00,Sodiq,success,credit,Tymbgaqgeqi,Tymbgaqgeqi,12/10/24
100.00,Sodiq,success,credit,Trsjkhhuzia,Trsjkhhuzia,12/10/24
100.00,Sodiq,success,credit,Tkkfnsxkwzr,Tkkfnsxkwzr,12/10/24
100.00,Sodiq,success,credit,Tqrrimwwvwc,Tqrrimwwvwc,12/10/24
100.00,Sodiq,success,credit,Tntyyxfacvy,Tntyyxfacvy,12/10/24
100.00,Sodiq,success,credit,Tjmqjthtjyk,Tjmqjthtjyk,12/10/24
100.00,Sodiq,success,credit,Tgeqmftxecp,Tgeqmftxecp,12/10/24
100.00,Sodiq,success,credit,Tssprwwtoyr,Tssprwwtoyr,12/10/24
100.00,Sodiq,success,credit,Tztkmftxhcc,Tztkmftxhcc,12/10/24
5000.00,Sodiq,success,credit,Twevtcgrppv,Twevtcgrppv,12/10/24
100.00,Sodiq,success,credit,Tiquslypcsc,Tiquslypcsc,12/10/24
100.00,Sodiq,success,credit,Tzjwnvrpyqy,Tzjwnvrpyqy,12/10/24
100.00,Sodiq,success,credit,Tpmgrebhage,Tpmgrebhage,12/10/24
100.00,Sodiq,success,credit,Tykstfoecpr,Tykstfoecpr,12/10/24
100.00,Sodiq,success,credit,Tqagcbgnehb,Tqagcbgnehb,12/10/24
100.00,Sodiq,success,credit,Tpbtbcthssg,Tpbtbcthssg,12/10/24
100.00,Sodiq,success,credit,Tgkjolqznbs,Tgkjolqznbs,12/10/24
100.00,Sodiq,success,credit,Tagmslewnlg,Tagmslewnlg,12/10/24
100.00,Sodiq,success,credit,Twsmnlcggqy,Twsmnlcggqy,12/10/24
100.00,Sodiq,success,credit,Tkuavoqimod,Tkuavoqimod,12/10/24
100.00,Sodiq,success,credit,Tptryrmukpa,Tptryrmukpa,12/10/24
100.00,Sodiq,success,credit,Tsjdjsakizx,Tsjdjsakizx,12/10/24
100.00,Sodiq,success,credit,Tnydgvloidi,Tnydgvloidi,12/10/24
100.00,Sodiq,success,credit,Tqgzybulagm,Tqgzybulagm,12/10/24
100.00,Sodiq,success,credit,Tedxjsbejhy,Tedxjsbejhy,12/10/24
100.00,Sodiq,success,credit,Tbkwucwgddd,Tbkwucwgddd,12/10/24
100.00,Sodiq,success,credit,Tgekgdvfodl,Tgekgdvfodl,12/10/24
100.00,Sodiq,success,credit,Toitvlqfxfx,Toitvlqfxfx,12/10/24
100.00,Sodiq,success,credit,Thqdfejjxcy,Thqdfejjxcy,12/10/24
100.00,Sodiq,success,credit,Tmjfqbzpkvd,Tmjfqbzpkvd,12/10/24
100.00,Sodiq,success,credit,Tjzcmgisocf,Tjzcmgisocf,12/10/24
100.00,Sodiq,success,credit,Tbomysmuxwi,Tbomysmuxwi,12/10/24
100.00,Sodiq,success,credit,Trslsseeglv,Trslsseeglv,12/10/24
100.00,Sodiq,success,credit,Tgwcclutyyj,Tgwcclutyyj,12/10/24
100.00,Sodiq,success,credit,Temtqyngddu,Temtqyngddu,12/10/24
100.00,Sodiq,success,credit,Tlndgilzqwo,Tlndgilzqwo,12/10/24
100.00,Sodiq,success,credit,Thrghqcbjxr,Thrghqcbjxr,12/10/24
100.00,Sodiq,success,credit,Tnrehixvsch,Tnrehixvsch,12/10/24
100.00,Sodiq,success,credit,Txftnnejhpd,Txftnnejhpd,12/10/24
100.00,Sodiq,success,credit,Tvjokghgowa,Tvjokghgowa,12/10/24
100.00,Sodiq,success,credit,Totasewldtg,Totasewldtg,12/10/24
100.00,Sodiq,success,credit,Tcwhtjkyjgx,Tcwhtjkyjgx,12/10/24
100.00,Sodiq,success,credit,Tkvjrqmpflp,Tkvjrqmpflp,12/10/24
100.00,Sodiq,success,credit,Tlefaogtorh,Tlefaogtorh,12/10/24
100.00,Sodiq,success,credit,Tjfdktxezej,Tjfdktxezej,12/10/24
100.00,Sodiq,success,credit,Toqqtmedrdn,Toqqtmedrdn,12/10/24
100.00,Sodiq,success,credit,Tjjhpqtrqrp,Tjjhpqtrqrp,12/10/24
100.00,Sodiq,success,credit,Tttbujjqhug,Tttbujjqhug,12/10/24
100.00,Sodiq,success,credit,Tifavtlrrrg,Tifavtlrrrg,12/10/24
100.00,Sodiq,success,credit,Toseihaxvjk,Toseihaxvjk,12/10/24
100.00,Sodiq,success,credit,Ttiofervtqu,Ttiofervtqu,12/10/24
100.00,Sodiq,success,credit,Tovhziwddzq,Tovhziwddzq,12/10/24
100.00,Sodiq,success,credit,Tsditlcoovl,Tsditlcoovl,12/10/24
100.00,Sodiq,success,credit,Tazzjjjjffk,Tazzjjjjffk,12/10/24
100.00,Sodiq,success,credit,Tjqqblzamvp,Tjqqblzamvp,12/10/24
100.00,Sodiq,success,credit,Txvhagqsskg,Txvhagqsskg,12/10/24
100.00,Sodiq,success,credit,Tqqhsbfwtce,Tqqhsbfwtce,12/10/24
100.00,Sodiq,success,credit,Tbuzemwpuun,Tbuzemwpuun,12/10/24
100.00,Sodiq,success,credit,Tehvdmifbbe,Tehvdmifbbe,12/10/24
100.00,Sodiq,success,credit,Tvvqsumnkpg,Tvvqsumnkpg,12/10/24
100.00,Sodiq,success,credit,Targhsmfnai,Targhsmfnai,12/10/24
100.00,Sodiq,success,credit,Totkcfliiws,Totkcfliiws,12/10/24
100.00,Sodiq,success,credit,Tqjzhbzemiv,Tqjzhbzemiv,12/10/24
100.00,Sodiq,success,credit,Teehonozdhw,Teehonozdhw,12/10/24
100.00,Sodiq,success,credit,Tywhkgiticy,Tywhkgiticy,12/10/24
100.00,Sodiq,success,credit,Tefciykoqpw,Tefciykoqpw,12/10/24
100.00,Sodiq,success,credit,Tcsoliolfvi,Tcsoliolfvi,12/10/24
100.00,Sodiq,success,credit,Terdnfjtkjd,Terdnfjtkjd,12/10/24
100.00,Sodiq,success,credit,Txcykscqivm,Txcykscqivm,12/10/24
100.00,Sodiq,success,credit,Thayiihsclz,Thayiihsclz,12/10/24
100.00,Sodiq,success,credit,Tfyexikssyk,Tfyexikssyk,12/10/24
100.00,Sodiq,success,credit,Tqtejpitdkv,Tqtejpitdkv,12/10/24
100.00,Sodiq,success,credit,Trgwttfloaf,Trgwttfloaf,12/10/24
100.00,Sodiq,success,credit,Tllzmuzswrk,Tllzmuzswrk,12/10/24
100.00,Sodiq,success,credit,Tnurxhvldnq,Tnurxhvldnq,12/10/24
100.00,Sodiq,success,credit,Tyktekootgh,Tyktekootgh,12/10/24
100.00,Sodiq,success,credit,Tlwlbzsxcjs,Tlwlbzsxcjs,12/10/24
100.00,Sodiq,success,credit,Tvtqrrgfljx,Tvtqrrgfljx,12/10/24
100.00,Sodiq,success,credit,Tezzmtiykkd,Tezzmtiykkd,12/10/24
100.00,Sodiq,success,credit,Tqheruautkg,Tqheruautkg,12/10/24
100.00,Sodiq,success,credit,Tkdjyywfahn,Tkdjyywfahn,12/10/24
100.00,Sodiq,success,credit,Tswtojkhuej,Tswtojkhuej,12/10/24
100.00,Sodiq,success,credit,Tgogfkimvkv,Tgogfkimvkv,12/10/24
100.00,Sodiq,success,credit,Tdbkvckuzeh,Tdbkvckuzeh,12/10/24
100.00,Sodiq,success,credit,Tohreaujapu,Tohreaujapu,12/10/24
