Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
100.23,Sodiq,success,debit,T1T6I3OHY8KK,T1T6I3OHY8KK,4/2/25
10.00,Sodiq,success,debit,T1T6I3OHY8KK,T1T6I3OHY8KK,4/2/25
10.00,Sodiq,success,debit,TU5D43FE38WJ,TU5D43FE38WJ,4/2/25
10.00,Sodiq,success,debit,TT9S8BDNOARB,TT9S8BDNOARB,4/2/25
10.00,Sodiq,success,debit,TU5D43FE38WJ,TU5D43FE38WJ,4/2/25
10.00,Sodiq,success,debit,TT9S8BDNOARB,TT9S8BDNOARB,4/2/25
10.00,Narration,success,debit,TZA20X7DKEYW,TZA20X7DKEYW,3/26/25
1000000.00,Narration,success,credit,TNPPA9E5J1IQ,TNPPA9E5J1IQ,3/26/25
1000.00,Narration,success,debit,TZA20X7DKEYW,TZA20X7DKEYW,3/26/25
10.00,Sodiq,success,debit,TJQKV7OKBMDF,TJQKV7OKBMDF,3/27/25
10.00,Sodiq,success,debit,TJCML9THRQ5I,TJCML9THRQ5I,3/27/25
10.00,Sodiq,success,debit,TJCML9THRQ5I,TJCML9THRQ5I,3/27/25
10000.00,bulk transfer,failed,debit,TDP6GMRCCJ0W,TDP6GMRCCJ0W,3/27/25
10.00,Sodiq,success,debit,TJQKV7OKBMDF,TJQKV7OKBMDF,3/27/25
0.20,bulk transfer,failed,debit,TDP6GMRCCJ0W,TDP6GMRCCJ0W,3/27/25
10.00,Sodiq,success,debit,T43DZKV2OG2M,T43DZKV2OG2M,3/27/25
10.00,Sodiq,success,debit,T43DZKV2OG2M,T43DZKV2OG2M,3/27/25
10.00,Sodiq,success,debit,T329SHCKT5Z4,T329SHCKT5Z4,3/27/25
10.00,Sodiq,success,debit,T329SHCKT5Z4,T329SHCKT5Z4,3/27/25
1000.00,Tet,success,credit,T54J82AGTAWE,T54J82AGTAWE,3/28/25
10.00,Sodiq,success,debit,T4TJJSKL4LJY,T4TJJSKL4LJY,4/2/25
100.23,Sodiq,success,debit,TKNP0BQMJ202,TKNP0BQMJ202,4/2/25
10.00,Sodiq,success,debit,TKNP0BQMJ202,TKNP0BQMJ202,4/2/25
100.23,Sodiq,success,debit,TR93UI83RIML,TR93UI83RIML,4/2/25
10.00,Sodiq,success,debit,TR93UI83RIML,TR93UI83RIML,4/2/25
10.00,Sodiq,success,debit,TWQM8B7FYUWF,TWQM8B7FYUWF,4/2/25
10.00,Sodiq,success,debit,TWQM8B7FYUWF,TWQM8B7FYUWF,4/2/25
10.00,Sodiq,success,debit,T4TJJSKL4LJY,T4TJJSKL4LJY,4/2/25
