"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","Make bill payment-Invalid option Id","QA - Cashdrive / Business","Sun Aug 24 20:26:02 UTC 2025","failed","Sun Aug 24 20:26:02 UTC 2025","Make Bill Payment > Make bill payment-Cable TV > GOTV","Pay Bills","",""
"","92","Verify Biller Account Number-Empty fields","QA - Cashdrive / Business","Sun Aug 24 20:26:01 UTC 2025","passed","Sun Aug 24 20:26:01 UTC 2025","Verify Biller account number","Pay Bills","",""
"","42","Set Document","QA - Cashdrive / Business","Sun Aug 24 20:26:06 UTC 2025","passed","Sun Aug 24 20:26:06 UTC 2025","Set Document","Documents","",""
"","92","Create Profile - Undefined Profile Type","QA - Cashdrive / Business","Sun Aug 24 20:25:48 UTC 2025","passed","Sun Aug 24 20:25:48 UTC 2025","Create Profile","Profile","",""
"","62","Make Bill Payment","QA - Cashdrive / Business","Sun Aug 24 20:26:02 UTC 2025","failed","Sun Aug 24 20:26:02 UTC 2025","Make Bill Payment > Make bill payment-Electricity","Pay Bills","",""
"","86","Create Transfer Beneficiary-Invalid Profile Id","QA - Cashdrive / Business","Sun Aug 24 20:25:58 UTC 2025","failed","Sun Aug 24 20:25:58 UTC 2025","Transfer Beneficiaries > Create Beneficiary","Beneficiaries","",""
"","45","Get Wallet Stats","QA - Cashdrive / Business","Sun Aug 24 20:25:54 UTC 2025","passed","Sun Aug 24 20:25:54 UTC 2025","","Dashboard","",""
"","76","Make bill payment-Invalid category Id","QA - Cashdrive / Business","Sun Aug 24 20:26:02 UTC 2025","failed","Sun Aug 24 20:26:02 UTC 2025","Make Bill Payment > Make bill payment-Cable TV > DSTV","Pay Bills","",""
"","45","Update User Profile-Empty id field","QA - Cashdrive / Business","Sun Aug 24 20:25:53 UTC 2025","failed","Sun Aug 24 20:25:53 UTC 2025","Update User Profile","User Management","",""
"","89","Get Profile - Automation Purposed","QA - Cashdrive / Business","Sun Aug 24 20:25:54 UTC 2025","passed","Sun Aug 24 20:25:54 UTC 2025","Update Maker Checker","Maker Checker","",""
"","96","Invite User - Empty Fields","QA - Cashdrive / Business","Sun Aug 24 20:25:52 UTC 2025","failed","Sun Aug 24 20:25:52 UTC 2025","Invite User","User Management","",""
"","88","Make Bill Payment","QA - Cashdrive / Business","Sun Aug 24 20:26:01 UTC 2025","failed","Sun Aug 24 20:26:01 UTC 2025","Make Bill Payment > Make bill payment-Airtime > AIRTEL","Pay Bills","",""
"","44","List Biller Options-Data-Mtn","QA - Cashdrive / Business","Sun Aug 24 20:26:00 UTC 2025","failed","Sun Aug 24 20:26:00 UTC 2025","List Biller Options","Pay Bills","",""
"","47","Transfer","QA - Cashdrive / Business","Sun Aug 24 20:25:57 UTC 2025","passed","Sun Aug 24 20:25:57 UTC 2025","Transfer","Transfer","",""
"","54","Upload File","QA - Cashdrive / Business","Sun Aug 24 20:26:05 UTC 2025","passed","Sun Aug 24 20:26:05 UTC 2025","","Files","",""
"","93","Make bill payment-Invalid category Id","QA - Cashdrive / Business","Sun Aug 24 20:26:02 UTC 2025","failed","Sun Aug 24 20:26:02 UTC 2025","Make Bill Payment > Make bill payment-Cable TV > GOTV","Pay Bills","",""
"","43","Get Transactions","QA - Cashdrive / Business","Sun Aug 24 20:26:03 UTC 2025","passed","Sun Aug 24 20:26:03 UTC 2025","Get transactions","Transactions","",""
"","61","Withdraw Savings Plan Copy","QA - Cashdrive / Business","Sun Aug 24 20:26:07 UTC 2025","passed","Sun Aug 24 20:26:07 UTC 2025","Withdraw Savings Plans","Savings/Investments","",""
"","52","Update User Profile-Invalid id","QA - Cashdrive / Business","Sun Aug 24 20:25:53 UTC 2025","failed","Sun Aug 24 20:25:53 UTC 2025","Update User Profile","User Management","",""
"","59","Update Role-Empty profile id field","QA - Cashdrive / Business","Sun Aug 24 20:25:51 UTC 2025","failed","Sun Aug 24 20:25:51 UTC 2025","Roles > Update Role","Roles and Permissions","",""
"","50","Get Users - Filter Active","QA - Cashdrive / Business","Sun Aug 24 20:25:52 UTC 2025","passed","Sun Aug 24 20:25:52 UTC 2025","Get Users","User Management","",""
"","92","New Request","QA - Cashdrive / Business","Sun Aug 24 20:25:48 UTC 2025","passed","Sun Aug 24 20:25:48 UTC 2025","Create Profile","Profile","",""
"","401","Verify Phone - Incomplete Phone Number","QA - Cashdrive / Business","Sun Aug 24 20:25:43 UTC 2025","passed","Sun Aug 24 20:25:43 UTC 2025","SignUp..... > Verify phone number","Onboarding.","",""
"","94","Make Bill Payment","QA - Cashdrive / Business","Sun Aug 24 20:26:03 UTC 2025","failed","Sun Aug 24 20:26:03 UTC 2025","Make Bill Payment > Make bill payment-Education","Pay Bills","",""
"","250","List wallets","QA - Cashdrive / Business","Sun Aug 24 20:25:55 UTC 2025","passed","Sun Aug 24 20:25:55 UTC 2025","List wallets","Wallets","",""
"","52","Download Transaction Receipt","QA - Cashdrive / Business","Sun Aug 24 20:26:04 UTC 2025","passed","Sun Aug 24 20:26:04 UTC 2025","Download Receipt","Transactions","",""
"","46","Update Role-Empty fields","QA - Cashdrive / Business","Sun Aug 24 20:25:52 UTC 2025","failed","Sun Aug 24 20:25:52 UTC 2025","Roles > Update Role","Roles and Permissions","",""
"","60","Get Notification","QA - Cashdrive / Business","Sun Aug 24 20:26:06 UTC 2025","passed","Sun Aug 24 20:26:06 UTC 2025","","Notification","",""
"","105","Create Role - Empty Fields","QA - Cashdrive / Business","Sun Aug 24 20:25:50 UTC 2025","failed","Sun Aug 24 20:25:51 UTC 2025","Roles > Create Role","Roles and Permissions","",""
"","65","Get User","QA - Cashdrive / Business","Sun Aug 24 20:25:52 UTC 2025","failed","Sun Aug 24 20:25:52 UTC 2025","Get User","User Management","",""
"","62","Make bill payment","QA - Cashdrive / Business","Sun Aug 24 20:26:02 UTC 2025","failed","Sun Aug 24 20:26:02 UTC 2025","Make Bill Payment > Make bill payment-Cable TV > STARTIMES","Pay Bills","",""
"","99","Reset Password","QA - Cashdrive / Business","Sun Aug 24 20:25:47 UTC 2025","failed","Sun Aug 24 20:25:47 UTC 2025","Reset password","Onboarding.","",""
"","350","List Locations - Continents","QA - Cashdrive / Business","Sun Aug 24 20:26:07 UTC 2025","passed","Sun Aug 24 20:26:08 UTC 2025","Locations","Settings","",""
"","158","Create Role","QA - Cashdrive / Business","Sun Aug 24 20:25:50 UTC 2025","passed","Sun Aug 24 20:25:50 UTC 2025","Roles > Create Role","Roles and Permissions","",""
"","46","Bulk Transfer","QA - Cashdrive / Business","Sun Aug 24 20:25:57 UTC 2025","passed","Sun Aug 24 20:25:57 UTC 2025","Bulk transfer","Transfer","",""
"","104","Get Saving Products","QA - Cashdrive / Business","Sun Aug 24 20:26:06 UTC 2025","passed","Sun Aug 24 20:26:06 UTC 2025","Get Savings Products","Savings/Investments","",""
"","97","Create Saving Plan","QA - Cashdrive / Business","Sun Aug 24 20:26:06 UTC 2025","passed","Sun Aug 24 20:26:06 UTC 2025","Create Saving Plan","Savings/Investments","",""
"","42","List Biller Options-Invalid category Id","QA - Cashdrive / Business","Sun Aug 24 20:26:00 UTC 2025","failed","Sun Aug 24 20:26:00 UTC 2025","List Biller Options","Pay Bills","",""
"","46","Delete Transfer Beneficiary-Invalid Profile Id","QA - Cashdrive / Business","Sun Aug 24 20:25:58 UTC 2025","failed","Sun Aug 24 20:25:58 UTC 2025","Transfer Beneficiaries > Delete Beneficiary","Beneficiaries","",""
"","44","Mtn Data-Empty fields","QA - Cashdrive / Business","Sun Aug 24 20:26:01 UTC 2025","failed","Sun Aug 24 20:26:01 UTC 2025","Make Bill Payment > Make bill payment-Data > MTN","Pay Bills","",""
